,0
0,CFFEX.IC2207
1,CFFEX.IF2211
2,CFFEX.IH2106
3,CFFEX.IH2012
4,CFFEX.IC2208
5,CFFEX.IH2204
6,CFFEX.IH2208
7,CFFEX.IM2211
8,CFFEX.IF2103
9,CFFEX.IF2209
10,CFFEX.IH2202
11,CFFEX.IC2109
12,CFFEX.IF2208
13,CFFEX.IH2104
14,CFFEX.IC2107
15,CFFEX.IH2206
16,CFFEX.TF2106
17,CFFEX.IC2105
18,CFFEX.IF2012
19,CFFEX.IM2212
20,CFFEX.T2203
21,CFFEX.IH2212
22,CFFEX.TF2012
23,CFFEX.TS2203
24,CFFEX.TS2109
25,CFFEX.IC2206
26,CFFEX.IH2205
27,CFFEX.TS2303
28,CFFEX.IC2211
29,CFFEX.IF2303
30,CFFEX.IC2112
31,CFFEX.IF2101
32,CFFEX.TF2303
33,CFFEX.IH2103
34,CFFEX.IH2203
35,CFFEX.IH2108
36,CFFEX.T2112
37,CFFEX.IH2209
38,CFFEX.IC2202
39,CFFEX.IC2209
40,CFFEX.IC2101
41,CFFEX.TS2206
42,CFFEX.IF2202
43,CFFEX.IC2204
44,CFFEX.IH2201
45,CFFEX.IH2011
46,CFFEX.TF2203
47,CFFEX.IF2203
48,CFFEX.IF2104
49,CFFEX.IC2210
50,CFFEX.IC2203
51,CFFEX.IH2111
52,CFFEX.T2303
53,CFFEX.IM2209
54,CFFEX.TF2112
55,CFFEX.IC2010
56,CFFEX.IH2303
57,CFFEX.TF2109
58,CFFEX.T2206
59,CFFEX.IC2110
60,CFFEX.IC2103
61,CFFEX.IC2111
62,CFFEX.IF2109
63,CFFEX.IC2011
64,CFFEX.IC2102
65,CFFEX.IH2110
66,CFFEX.IC2108
67,CFFEX.TS2106
68,CFFEX.TS2306
69,CFFEX.IF2210
70,CFFEX.IC2303
71,CFFEX.IH2210
72,CFFEX.IF2205
73,CFFEX.TS2212
74,CFFEX.IH2112
75,CFFEX.IM2303
76,CFFEX.IC2104
77,CFFEX.TS2112
78,CFFEX.T2103
79,CFFEX.IF2102
80,CFFEX.IH2010
81,CFFEX.IC2012
82,CFFEX.IF2112
83,CFFEX.TF2209
84,CFFEX.T2106
85,CFFEX.IH2107
86,CFFEX.IF2111
87,CFFEX.IM2210
88,CFFEX.IM2208
89,CFFEX.IH2009
90,CFFEX.IH2207
91,CFFEX.IC2106
92,CFFEX.T2012
93,CFFEX.IC2212
94,CFFEX.TF2306
95,CFFEX.TF2103
96,CFFEX.T2212
97,CFFEX.IF2201
98,CFFEX.IF2107
99,CFFEX.IH2102
100,CFFEX.T2209
101,CFFEX.IH2101
102,CFFEX.IF2108
103,CFFEX.IF2105
104,CFFEX.IC2205
105,CFFEX.IF2011
106,CFFEX.T2306
107,CFFEX.TS2209
108,CFFEX.IF2009
109,CFFEX.TF2206
110,CFFEX.IF2106
111,CFFEX.IF2204
112,CFFEX.TS2012
113,CFFEX.TF2212
114,CFFEX.IF2206
115,CFFEX.IH2211
116,CFFEX.IF2110
117,CFFEX.IF2212
118,CFFEX.IH2105
119,CFFEX.IF2010
120,CFFEX.T2109
121,CFFEX.IC2009
122,CFFEX.TS2103
123,CFFEX.IC2201
124,CFFEX.IH2109
125,CFFEX.IF2207
