,0
0,CFFEX.IO2108-C-5600
1,CFFEX.IO2205-C-3900
2,CFFEX.IO2009-P-3650
3,CFFEX.IO2105-P-4900
4,CFFEX.IO2103-P-5700
5,CFFEX.IO2011-C-4900
6,CFFEX.IO2110-C-5000
7,CFFEX.IO2112-P-4600
8,CFFEX.IO2209-P-4350
9,CFFEX.IO2106-P-4950
10,CFFEX.MO2212-P-5700
11,CFFEX.IO2207-P-4900
12,CFFEX.IO2103-P-4500
13,CFFEX.IO2303-C-3400
14,CFFEX.IO2012-C-4000
15,CFFEX.IO2209-C-4500
16,CFFEX.IO2207-P-3450
17,CFFEX.IO2212-C-5600
18,CFFEX.IO2204-P-4250
19,CFFEX.IO2101-P-4500
20,CFFEX.MO2210-P-5400
21,CFFEX.IO2206-C-4650
22,CFFEX.IO2103-P-4000
23,CFFEX.MO2211-P-6800
24,CFFEX.MO2211-C-5900
25,CFFEX.IO2009-P-3850
26,CFFEX.MO2212-C-6300
27,CFFEX.IO2009-C-3750
28,CFFEX.IO2010-P-4150
29,CFFEX.IO2108-P-4650
30,CFFEX.IO2209-P-4250
31,CFFEX.IO2009-P-3400
32,CFFEX.IO2208-P-4300
33,CFFEX.IO2210-P-4600
34,CFFEX.IO2212-C-3400
35,CFFEX.MO2303-P-6800
36,CFFEX.IO2207-C-4500
37,CFFEX.IO2009-C-4550
38,CFFEX.IO2110-C-5300
39,CFFEX.IO2210-P-4050
40,CFFEX.IO2106-P-4700
41,CFFEX.IO2205-C-4700
42,CFFEX.IO2104-C-4550
43,CFFEX.IO2201-C-5200
44,CFFEX.IO2210-P-4550
45,CFFEX.IO2012-C-3200
46,CFFEX.IO2108-P-4350
47,CFFEX.IO2212-C-3650
48,CFFEX.IO2205-P-3400
49,CFFEX.IO2207-C-4400
50,CFFEX.IO2206-C-4200
51,CFFEX.IO2303-P-4600
52,CFFEX.IO2108-C-5300
53,CFFEX.IO2211-C-3700
54,CFFEX.IO2212-P-3400
55,CFFEX.MO2212-C-5500
56,CFFEX.MO2209-C-8000
57,CFFEX.IO2101-P-5700
58,CFFEX.IO2107-C-4700
59,CFFEX.IO2104-P-4600
60,CFFEX.IO2103-P-5000
61,CFFEX.IO2206-C-3400
62,CFFEX.MO2212-P-6800
63,CFFEX.IO2107-P-4800
64,CFFEX.IO2205-P-3850
65,CFFEX.IO2209-C-3400
66,CFFEX.IO2204-P-3650
67,CFFEX.MO2212-P-5500
68,CFFEX.IO2203-C-4150
69,CFFEX.MO2210-C-6200
70,CFFEX.IO2010-C-4800
71,CFFEX.IO2109-C-4550
72,CFFEX.IO2103-C-5100
73,CFFEX.MO2208-C-7400
74,CFFEX.IO2112-C-4350
75,CFFEX.IO2207-C-4850
76,CFFEX.IO2010-C-4100
77,CFFEX.IO2105-P-4750
78,CFFEX.MO2212-P-6100
