,0
0,CZCE.CF205C21600
1,CZCE.TA305C5200
2,CZCE.OI301P12000
3,CZCE.ZC104C660
4,CZCE.MA207P2650
5,CZCE.ZC201C830
6,CZCE.CF201C16200
7,CZCE.ZC106C610
8,CZCE.RM203C2800
9,CZCE.CF303C12600
10,CZCE.RM109C2850
11,CZCE.ZC211P830
12,CZCE.TA108C5700
13,CZCE.MA210P2450
14,CZCE.TA109C3800
15,CZCE.MA302P3500
16,CZCE.CF303P12800
17,CZCE.MA107C2450
18,CZCE.ZC106P940
19,CZCE.ZC201C640
20,CZCE.MA305C2450
21,CZCE.OI211P10400
22,CZCE.TA104P4600
23,CZCE.ZC212C770
24,CZCE.SR303C5500
25,CZCE.TA208P7200
26,CZCE.CF105C12000
27,CZCE.RM203P2400
28,CZCE.CF205C16200
29,CZCE.CF111C16000
30,CZCE.ZC205C610
31,CZCE.RM107C2600
32,CZCE.TA203C4950
33,CZCE.MA206C3300
34,CZCE.MA112P2400
35,CZCE.MA101P2250
36,CZCE.ZC210P820
37,CZCE.RM107C2550
38,CZCE.MA106C2425
39,CZCE.SR101C5100
40,CZCE.TA211C6500
41,CZCE.SR107P5800
42,CZCE.MA302P2700
43,CZCE.RM203C3250
44,CZCE.RM105P2800
45,CZCE.MA212C2550
46,CZCE.TA207C5700
47,CZCE.MA205P3750
48,CZCE.SR101P5800
49,CZCE.TA107C3900
50,CZCE.ZC201C800
51,CZCE.ZC205P1080
52,CZCE.ZC104P740
53,CZCE.RM209C3400
54,CZCE.ZC109C640
55,CZCE.ZC207C820
56,CZCE.CF105P17400
57,CZCE.ZC011C510
58,CZCE.ZC101P710
59,CZCE.ZC209C910
60,CZCE.ZC201C1400
61,CZCE.MA303C2400
62,CZCE.ZC109C760
63,CZCE.CF207C16200
64,CZCE.TA205C4900
65,CZCE.RM303P3150
66,CZCE.MA303C2450
67,CZCE.RM209C2450
68,CZCE.ZC102P810
69,CZCE.MA103C2900
70,CZCE.TA212C5700
71,CZCE.MA212C3450
72,CZCE.TA202C4950
73,CZCE.MA107C2275
74,CZCE.TA208C5700
75,CZCE.ZC112P1500
76,CZCE.CF111P18400
77,CZCE.RM108P3100
78,CZCE.ZC101P485
79,CZCE.MA203P3250
80,CZCE.CF203C18200
81,CZCE.MA011P1750
82,CZCE.SR107C5400
83,CZCE.ZC109C710
84,CZCE.MA011C2300
85,CZCE.MA203C3550
86,CZCE.RM111P2800
87,CZCE.ZC201C1720
88,CZCE.ZC011P580
89,CZCE.CF111P22000
90,CZCE.ZC209P820
91,CZCE.ZC112P1160
92,CZCE.MA201C2550
93,CZCE.ZC201C1050
94,CZCE.RM307C3250
95,CZCE.RM105P2125
96,CZCE.ZC101P690
97,CZCE.CF301P18200
98,CZCE.TA105C3600
99,CZCE.PK211C12200
100,CZCE.RM101C2650
101,CZCE.TA305P6300
102,CZCE.PK212P9700
103,CZCE.ZC209C880
104,CZCE.MA208C2400
105,CZCE.ZC207P830
106,CZCE.RM105C2325
107,CZCE.MA103C2700
108,CZCE.CF301C12800
109,CZCE.RM011P2300
110,CZCE.CF303C17000
111,CZCE.MA207C3200
112,CZCE.CF105P12600
113,CZCE.RM109P3050
114,CZCE.ZC201P1820
115,CZCE.ZC212C990
116,CZCE.MA211P3100
117,CZCE.MA304C2800
118,CZCE.CF103C14800
119,CZCE.CF207P19400
120,CZCE.ZC108P1010
121,CZCE.SR101P6300
122,CZCE.CF301C19600
123,CZCE.ZC106P950
124,CZCE.ZC112C1720
125,CZCE.TA208C5600
126,CZCE.MA202P3700
127,CZCE.MA108P2475
128,CZCE.ZC106P570
129,CZCE.ZC210C790
130,CZCE.MA204P2700
131,CZCE.ZC104P630
132,CZCE.MA204P3200
133,CZCE.RM207P4250
134,CZCE.ZC101C740
135,CZCE.TA111P5600
136,CZCE.RM303C2450
137,CZCE.MA210C3100
138,CZCE.SR109C5700
139,CZCE.ZC112C1630
140,CZCE.RM211C3650
141,CZCE.RM207P4000
142,CZCE.ZC210P830
143,CZCE.RM108C3400
144,CZCE.ZC201P620
145,CZCE.ZC105C540
146,CZCE.ZC103P650
147,CZCE.MA210C3150
148,CZCE.TA110P4900
149,CZCE.ZC211P760
