,0
0,DCE.lh2207
1,DCE.b2107
2,DCE.j2201
3,DCE.rr2104
4,DCE.b2110
5,DCE.pp2104
6,DCE.pg2212
7,DCE.fb2202
8,DCE.eg2305
9,DCE.b2210
10,DCE.fb2109
11,DCE.c2109
12,DCE.eb2103
13,DCE.fb2105
14,DCE.bb2305
15,DCE.cs2211
16,DCE.jm2108
17,DCE.l2203
18,DCE.i2109
19,DCE.jd2104
20,DCE.pg2109
21,DCE.j2206
22,DCE.pg2011
23,DCE.fb2108
24,DCE.eb2011
25,DCE.p2010
26,DCE.lh2305
27,DCE.b2106
28,DCE.jm2011
29,DCE.jd2212
30,DCE.v2106
31,DCE.fb2106
32,DCE.lh2209
33,DCE.y2301
34,DCE.j2203
35,DCE.eg2109
36,DCE.rr2208
37,DCE.pp2107
38,DCE.j2208
39,DCE.p2209
40,DCE.p2104
41,DCE.jm2107
42,DCE.v2211
43,DCE.fb2207
44,DCE.m2209
45,DCE.l2301
46,DCE.bb2206
47,DCE.i2212
48,DCE.rr2202
49,DCE.y2309
50,DCE.jd2011
51,DCE.eb2111
52,DCE.jd2302
53,DCE.pp2210
54,DCE.l2204
55,DCE.y2103
56,DCE.p2302
57,DCE.eg2205
58,DCE.v2212
59,DCE.cs2207
60,DCE.v2302
61,DCE.pg2206
62,DCE.a2105
63,DCE.y2208
64,DCE.i2305
65,DCE.fb2208
66,DCE.b2104
67,DCE.i2111
68,DCE.eb2112
69,DCE.b2309
70,DCE.i2204
71,DCE.b2301
72,DCE.rr2204
73,DCE.v2108
74,DCE.i2010
75,DCE.c2205
76,DCE.fb2302
77,DCE.l2108
78,DCE.cs2111
79,DCE.fb2107
80,DCE.lh2309
81,DCE.y2207
82,DCE.rr2201
83,DCE.v2204
84,DCE.c2103
85,DCE.b2305
86,DCE.bb2304
87,DCE.eb2110
88,DCE.b2212
89,DCE.b2111
90,DCE.j2102
91,DCE.pp2209
92,DCE.v2209
93,DCE.v2308
94,DCE.pg2307
95,DCE.p2201
96,DCE.l2202
97,DCE.m2309
98,DCE.jd2303
99,DCE.l2302
100,DCE.l2011
101,DCE.l2105
102,DCE.eb2305
103,DCE.v2307
104,DCE.bb2208
105,DCE.jm2308
106,DCE.eb2106
107,DCE.eb2012
108,DCE.fb2203
109,DCE.bb2203
110,DCE.rr2109
111,DCE.p2111
112,DCE.y2101
113,DCE.eb2009
114,DCE.y2108
115,DCE.eb2309
116,DCE.a2303
117,DCE.m2108
118,DCE.v2205
119,DCE.fb2010
120,DCE.j2211
121,DCE.j2212
122,DCE.j2306
123,DCE.j2307
124,DCE.j2112
125,DCE.j2011
126,DCE.pg2101
127,DCE.i2211
128,DCE.a2207
129,DCE.eb2301
130,DCE.pp2105
131,DCE.jd2009
132,DCE.m2307
133,DCE.y2212
134,DCE.rr2306
135,DCE.pp2204
136,DCE.p2212
137,DCE.l2303
138,DCE.jd2012
139,DCE.jm2111
140,DCE.jm2106
141,DCE.p2208
142,DCE.eb2206
143,DCE.a2203
144,DCE.p2103
145,DCE.j2202
146,DCE.eb2209
147,DCE.pp2206
148,DCE.pp2203
149,DCE.fb2104
150,DCE.lh2301
151,DCE.i2309
152,DCE.eb2107
153,DCE.j2110
154,DCE.eb2104
155,DCE.eb2010
156,DCE.pp2112
157,DCE.j2205
158,DCE.v2104
159,DCE.bb2106
160,DCE.pg2102
161,DCE.i2103
162,DCE.b2205
163,DCE.l2305
164,DCE.cs2309
165,DCE.rr2107
166,DCE.rr2307
167,DCE.b2201
168,DCE.j2103
169,DCE.pg2107
170,DCE.y2205
171,DCE.b2109
172,DCE.j2105
173,DCE.l2010
174,DCE.c2305
175,DCE.pg2208
176,DCE.p2309
177,DCE.b2101
178,DCE.b2108
179,DCE.eb2212
180,DCE.eb2303
181,DCE.i2110
182,DCE.p2102
183,DCE.jd2110
184,DCE.eg2106
185,DCE.pp2101
186,DCE.l2306
