,0
0,DCE.i2308-C-690
1,DCE.p2111-C-8200
2,DCE.i2112-P-1100
3,DCE.a2303-C-4850
4,DCE.p2208-C-12600
5,DCE.pg2011-C-4350
6,DCE.v2207-C-8900
7,DCE.p2111-C-7100
8,DCE.pg2302-C-6400
9,DCE.v2111-C-12200
10,DCE.c2205-P-2700
11,DCE.i2301-P-690
12,DCE.i2110-P-1000
13,DCE.i2104-C-1180
14,DCE.p2309-C-8400
15,DCE.i2106-P-620
16,DCE.m2305-P-2850
17,DCE.l2108-C-7000
18,DCE.m2303-P-4150
19,DCE.c2301-P-2560
20,DCE.m2201-P-3900
21,DCE.y2308-C-7100
22,DCE.c2211-P-2900
23,DCE.pg2305-P-4650
24,DCE.pp2109-C-8400
25,DCE.pg2304-P-4350
26,DCE.v2103-P-8000
27,DCE.v2107-C-5500
28,DCE.i2204-C-800
29,DCE.c2101-C-2240
30,DCE.pg2011-C-2200
31,DCE.v2203-C-8400
32,DCE.i2012-P-470
33,DCE.p2306-C-6400
34,DCE.l2106-P-6700
35,DCE.i2111-C-1420
36,DCE.l2209-P-10200
37,DCE.m2209-C-3350
38,DCE.p2305-C-8200
39,DCE.c2011-P-1840
40,DCE.v2204-C-8300
41,DCE.i2201-P-570
42,DCE.v2307-C-6900
43,DCE.pp2202-C-7400
44,DCE.c2101-P-2100
45,DCE.i2101-C-660
46,DCE.c2203-P-2980
47,DCE.m2201-C-4050
48,DCE.pg2202-C-5950
49,DCE.c2301-C-2380
50,DCE.p2109-C-7000
51,DCE.p2301-P-11000
52,DCE.i2207-C-610
53,DCE.pg2201-P-5600
54,DCE.p2204-P-10200
55,DCE.l2011-P-6200
56,DCE.pp2108-P-10400
57,DCE.i2105-C-530
58,DCE.pp2104-C-10600
59,DCE.pp2308-P-7500
60,DCE.pp2309-P-8700
61,DCE.y2308-P-9000
62,DCE.i2105-C-540
63,DCE.a2211-C-5400
64,DCE.v2011-P-7700
65,DCE.p2212-C-6100
66,DCE.i2209-P-560
67,DCE.p2304-P-6800
68,DCE.i2112-C-1000
69,DCE.m2212-C-3350
70,DCE.p2308-P-8400
71,DCE.p2206-P-11000
72,DCE.pp2301-C-7600
73,DCE.p2203-P-6800
74,DCE.p2110-P-6600
75,DCE.pg2305-P-3850
76,DCE.p2111-C-5800
77,DCE.i2105-C-830
78,DCE.pp2305-P-6500
79,DCE.pp2207-C-9800
80,DCE.p2203-C-8600
81,DCE.i2202-C-520
82,DCE.l2304-P-9900
83,DCE.i2207-C-750
84,DCE.v2212-C-8100
85,DCE.m2012-P-2450
86,DCE.l2303-P-8200
87,DCE.p2211-P-13600
88,DCE.i2308-P-650
89,DCE.p2205-C-9100
90,DCE.pp2306-C-7600
91,DCE.pp2205-P-9200
92,DCE.m2108-C-2500
93,DCE.p2308-C-6100
94,DCE.m2011-P-2850
95,DCE.m2208-P-3900
96,DCE.i2203-P-560
97,DCE.i2202-C-890
98,DCE.i2304-C-920
99,DCE.p2206-P-12600
100,DCE.y2211-P-8400
101,DCE.l2108-P-9500
102,DCE.i2205-P-920
103,DCE.m2305-P-4050
104,DCE.p2212-P-7500
105,DCE.p2212-C-6200
106,DCE.l2107-P-8900
107,DCE.m2207-P-3900
108,DCE.v2208-C-10400
109,DCE.v2203-P-9400
110,DCE.i2110-C-800
111,DCE.l2302-C-7400
112,DCE.l2306-C-7200
113,DCE.m2305-C-2900
114,DCE.pp2201-P-9700
115,DCE.v2011-C-6100
