,0
0,INE.nr2305
1,INE.lu2302
2,INE.sc2304
3,INE.sc2105
4,INE.lu2301
5,INE.lu2305
6,INE.bc2109
7,INE.sc2106
8,INE.bc2308
9,INE.bc2112
10,INE.bc2107
11,INE.sc2208
12,INE.bc2108
13,INE.nr2308
14,INE.bc2206
15,INE.nr2107
16,INE.sc2110
17,INE.nr2011
18,INE.lu2201
19,INE.bc2204
20,INE.sc2503
21,INE.sc2101
22,INE.lu2105
23,INE.nr2105
24,INE.bc2205
25,INE.sc2412
26,INE.lu2108
27,INE.bc2305
28,INE.sc2111
29,INE.sc2107
30,INE.lu2303
31,INE.nr2210
32,INE.bc2207
33,INE.lu2306
34,INE.nr2211
35,INE.bc2303
36,INE.nr2010
37,INE.lu2208
38,INE.lu2101
39,INE.lu2307
40,INE.nr2103
41,INE.nr2204
42,INE.sc2306
43,INE.nr2009
44,INE.bc2201
45,INE.nr2212
46,INE.bc2307
47,INE.lu2104
48,INE.nr2012
49,INE.bc2110
50,INE.lu2106
51,INE.nr2203
52,INE.lu2203
53,INE.sc2010
54,INE.sc2212
55,INE.sc2202
56,INE.nr2309
57,INE.sc2207
58,INE.bc2212
59,INE.nr2102
60,INE.sc2302
61,INE.sc2205
62,INE.bc2211
63,INE.lu2211
64,INE.bc2210
65,INE.sc2509
66,INE.bc2105
67,INE.nr2306
68,INE.nr2304
69,INE.lu2206
70,INE.nr2109
71,INE.sc2310
72,INE.bc2309
73,INE.nr2207
74,INE.bc2302
75,INE.sc2204
76,INE.lu2204
77,INE.sc2303
78,INE.nr2202
79,INE.lu2310
80,INE.lu2309
81,INE.nr2108
82,INE.lu2102
83,INE.lu2103
84,INE.lu2205
85,INE.bc2304
86,INE.sc2210
87,INE.nr2111
88,INE.lu2112
89,INE.nr2302
90,INE.nr2110
91,INE.sc2403
92,INE.sc2309
93,INE.nr2104
94,INE.sc2201
95,INE.bc2301
96,INE.bc2202
97,INE.sc2409
98,INE.nr2303
99,INE.lu2107
100,INE.sc2406
101,INE.nr2209
102,INE.sc2112
103,INE.bc2106
104,INE.sc2103
105,INE.sc2011
106,INE.nr2112
107,INE.lu2202
108,INE.sc2206
109,INE.nr2201
110,INE.bc2103
111,INE.bc2208
112,INE.nr2307
113,INE.bc2209
114,INE.sc2211
115,INE.sc2307
116,INE.sc2109
117,INE.sc2308
118,INE.sc2102
119,INE.nr2101
120,INE.nr2301
121,INE.bc2104
122,INE.sc2104
123,INE.lu2111
124,INE.lu2207
125,INE.sc2108
126,INE.nr2106
127,INE.bc2306
128,INE.lu2210
129,INE.sc2209
130,INE.lu2304
131,INE.nr2205
132,INE.lu2212
133,INE.lu2308
134,INE.lu2110
135,INE.sc2312
136,INE.nr2206
137,INE.sc2012
138,INE.sc2506
139,INE.bc2111
140,INE.nr2208
141,INE.lu2209
142,INE.sc2301
143,INE.sc2203
144,INE.lu2109
145,INE.bc2203
146,INE.sc2305
