,0
0,INE.sc2212C650
1,INE.sc2207C840
2,INE.sc2209C770
3,INE.sc2202C580
4,INE.sc2110C355
5,INE.sc2209C900
6,INE.sc2206P670
7,INE.sc2212P780
8,INE.sc2109P395
9,INE.sc2301P520
10,INE.sc2205C485
11,INE.sc2209C700
12,INE.sc2206C890
13,INE.sc2207C520
14,INE.sc2210C620
15,INE.sc2204P630
16,INE.sc2205P770
17,INE.sc2204C475
18,INE.sc2111P550
19,INE.sc2112C580
20,INE.sc2301C680
21,INE.sc2201C600
22,INE.sc2207P880
23,INE.sc2301C570
24,INE.sc2206P630
25,INE.sc2204P510
26,INE.sc2208C720
27,INE.sc2211C830
28,INE.sc2210C530
29,INE.sc2202C395
30,INE.sc2207C770
31,INE.sc2110P410
32,INE.sc2109P385
33,INE.sc2201P510
34,INE.sc2204P470
35,INE.sc2112P370
36,INE.sc2212C740
37,INE.sc2208C820
38,INE.sc2110P425
39,INE.sc2208P540
40,INE.sc2203P580
41,INE.sc2201P470
42,INE.sc2201P430
43,INE.sc2209C740
44,INE.sc2204C810
45,INE.sc2208C590
46,INE.sc2110P495
47,INE.sc2204C660
48,INE.sc2109C395
49,INE.sc2109C490
50,INE.sc2208P580
51,INE.sc2203P455
52,INE.sc2201C540
53,INE.sc2109P510
54,INE.sc2212C750
55,INE.sc2209P870
56,INE.sc2112C405
57,INE.sc2208C900
58,INE.sc2202C490
59,INE.sc2111C490
60,INE.sc2206C680
61,INE.sc2211P500
62,INE.sc2211P485
63,INE.sc2206P780
64,INE.sc2109P520
65,INE.sc2206C660
66,INE.sc2207P590
67,INE.sc2111C600
68,INE.sc2207C550
69,INE.sc2201P400
70,INE.sc2208P600
71,INE.sc2204P485
72,INE.sc2204C445
73,INE.sc2204P690
74,INE.sc2111P485
75,INE.sc2112P380
76,INE.sc2112C475
77,INE.sc2204P940
78,INE.sc2109P485
79,INE.sc2201P600
80,INE.sc2202P485
81,INE.sc2201C460
82,INE.sc2206P590
83,INE.sc2202C385
84,INE.sc2208P720
85,INE.sc2201C420
86,INE.sc2201P405
87,INE.sc2211P630
88,INE.sc2203C640
89,INE.sc2205P630
90,INE.sc2202C410
91,INE.sc2112C495
92,INE.sc2207C760
93,INE.sc2207P700
94,INE.sc2111C355
95,INE.sc2206C810
96,INE.sc2110P405
97,INE.sc2112P530
98,INE.sc2206C570
99,INE.sc2204P810
100,INE.sc2207C500
101,INE.sc2207P810
102,INE.sc2109C530
103,INE.sc2203C610
104,INE.sc2207P900
105,INE.sc2204C520
106,INE.sc2211C530
107,INE.sc2207P510
