,0
0,SHFE.hc2012
1,SHFE.wr2303
2,SHFE.pb2212
3,SHFE.cu2203
4,SHFE.bu2207
5,SHFE.al2305
6,SHFE.al2108
7,SHFE.zn2304
8,SHFE.pb2306
9,SHFE.bu2112
10,SHFE.ss2209
11,SHFE.ss2207
12,SHFE.wr2010
13,SHFE.al2307
14,SHFE.zn2308
15,SHFE.hc2208
16,SHFE.cu2202
17,SHFE.bu2206
18,SHFE.zn2011
19,SHFE.cu2112
20,SHFE.wr2208
21,SHFE.ru2304
22,SHFE.sp2209
23,SHFE.wr2205
24,SHFE.ni2110
25,SHFE.pb2103
26,SHFE.zn2210
27,SHFE.sn2011
28,SHFE.cu2308
29,SHFE.pb2202
30,SHFE.rb2205
31,SHFE.ru2206
32,SHFE.cu2011
33,SHFE.wr2112
34,SHFE.ag2303
35,SHFE.pb2209
36,SHFE.ag2202
37,SHFE.cu2210
38,SHFE.sp2206
39,SHFE.hc2109
40,SHFE.sn2208
41,SHFE.zn2211
42,SHFE.zn2102
43,SHFE.zn2012
44,SHFE.sn2106
45,SHFE.bu2306
46,SHFE.ru2209
47,SHFE.ss2203
48,SHFE.pb2303
49,SHFE.al2203
50,SHFE.rb2202
51,SHFE.rb2009
52,SHFE.al2109
53,SHFE.ru2010
54,SHFE.sp2101
55,SHFE.rb2102
56,SHFE.ss2308
57,SHFE.hc2010
58,SHFE.hc2207
59,SHFE.zn2301
60,SHFE.pb2205
61,SHFE.fu2010
62,SHFE.cu2108
63,SHFE.ni2207
64,SHFE.ni2009
65,SHFE.au2212
66,SHFE.fu2205
67,SHFE.fu2204
68,SHFE.bu2202
69,SHFE.bu2204
70,SHFE.ag2212
71,SHFE.sn2301
72,SHFE.au2202
73,SHFE.ss2208
74,SHFE.al2309
75,SHFE.fu2106
76,SHFE.hc2301
77,SHFE.bu2308
78,SHFE.bu2106
79,SHFE.cu2302
80,SHFE.fu2309
81,SHFE.bu2110
82,SHFE.rb2012
83,SHFE.al2207
84,SHFE.al2302
85,SHFE.fu2108
86,SHFE.sn2012
87,SHFE.rb2204
88,SHFE.bu2309
89,SHFE.pb2104
90,SHFE.ru2210
91,SHFE.bu2211
92,SHFE.wr2307
93,SHFE.wr2203
94,SHFE.ru2207
95,SHFE.ru2110
96,SHFE.zn2110
97,SHFE.pb2107
98,SHFE.bu2201
99,SHFE.rb2011
100,SHFE.ag2104
101,SHFE.fu2012
102,SHFE.ni2304
103,SHFE.hc2110
104,SHFE.ag2112
105,SHFE.au2205
106,SHFE.bu2012
107,SHFE.sp2309
108,SHFE.ss2301
109,SHFE.ru2103
110,SHFE.wr2101
111,SHFE.sp2302
112,SHFE.ag2011
113,SHFE.ag2205
114,SHFE.ni2107
115,SHFE.wr2301
116,SHFE.sn2305
117,SHFE.fu2303
118,SHFE.al2105
119,SHFE.sp2210
120,SHFE.bu2210
121,SHFE.al2010
122,SHFE.bu2303
123,SHFE.sp2112
124,SHFE.wr2011
125,SHFE.cu2209
126,SHFE.hc2103
127,SHFE.ag2301
128,SHFE.pb2009
129,SHFE.sn2109
130,SHFE.zn2112
131,SHFE.zn2202
132,SHFE.au2206
133,SHFE.ag2305
134,SHFE.ag2211
135,SHFE.hc2102
136,SHFE.rb2201
137,SHFE.fu2306
138,SHFE.fu2305
139,SHFE.au2103
140,SHFE.cu2307
141,SHFE.ss2309
142,SHFE.ag2010
143,SHFE.ag2107
144,SHFE.ag2111
145,SHFE.bu2312
146,SHFE.cu2208
147,SHFE.pb2011
148,SHFE.hc2106
149,SHFE.hc2305
150,SHFE.ni2309
151,SHFE.sn2209
152,SHFE.zn2109
153,SHFE.ni2305
154,SHFE.rb2301
155,SHFE.ag2203
156,SHFE.rb2107
157,SHFE.rb2211
158,SHFE.rb2210
159,SHFE.al2110
160,SHFE.hc2101
161,SHFE.sn2304
162,SHFE.ag2308
163,SHFE.sp2010
164,SHFE.cu2104
165,SHFE.au2107
166,SHFE.zn2107
167,SHFE.hc2201
168,SHFE.au2210
169,SHFE.sp2301
170,SHFE.bu2208
171,SHFE.ss2211
172,SHFE.zn2203
173,SHFE.hc2211
174,SHFE.fu2210
175,SHFE.ni2202
176,SHFE.au2306
177,SHFE.ss2306
178,SHFE.ni2012
179,SHFE.rb2208
180,SHFE.pb2102
181,SHFE.ni2112
182,SHFE.ru2305
183,SHFE.zn2010
184,SHFE.sp2207
185,SHFE.hc2309
186,SHFE.hc2104
187,SHFE.zn2208
188,SHFE.cu2211
189,SHFE.zn2106
190,SHFE.ru2309
191,SHFE.cu2305
192,SHFE.al2212
193,SHFE.bu2009
194,SHFE.cu2107
195,SHFE.sn2207
196,SHFE.pb2211
197,SHFE.wr2305
198,SHFE.hc2212
199,SHFE.wr2210
200,SHFE.ss2011
201,SHFE.bu2010
202,SHFE.cu2206
203,SHFE.ni2102
204,SHFE.cu2201
205,SHFE.cu2303
206,SHFE.pb2203
207,SHFE.ni2211
208,SHFE.al2211
209,SHFE.ru2107
210,SHFE.ru2101
211,SHFE.ni2101
212,SHFE.wr2306
213,SHFE.fu2103
214,SHFE.pb2207
215,SHFE.sn2206
216,SHFE.hc2011
217,SHFE.sp2306
218,SHFE.ni2104
219,SHFE.sp2104
220,SHFE.al2209
221,SHFE.zn2111
222,SHFE.zn2209
223,SHFE.zn2305
224,SHFE.zn2207
225,SHFE.cu2102
226,SHFE.ag2207
227,SHFE.sn2204
228,SHFE.al2206
229,SHFE.rb2106
230,SHFE.al2205
231,SHFE.pb2012
232,SHFE.sn2112
233,SHFE.sp2307
234,SHFE.ni2201
235,SHFE.al2301
236,SHFE.pb2210
237,SHFE.ag2201
238,SHFE.pb2206
239,SHFE.cu2012
240,SHFE.wr2108
241,SHFE.sp2107
242,SHFE.zn2101
243,SHFE.fu2209
244,SHFE.rb2307
245,SHFE.au2109
246,SHFE.bu2406
247,SHFE.fu2011
248,SHFE.bu2307
249,SHFE.ag2302
250,SHFE.au2201
251,SHFE.wr2206
252,SHFE.zn2302
253,SHFE.sn2108
254,SHFE.ss2101
255,SHFE.ru2011
256,SHFE.ss2009
257,SHFE.rb2303
258,SHFE.rb2203
259,SHFE.hc2204
260,SHFE.ag2102
261,SHFE.hc2202
262,SHFE.fu2207
263,SHFE.ag2206
264,SHFE.rb2207
265,SHFE.cu2306
266,SHFE.wr2109
267,SHFE.pb2108
268,SHFE.au2009
269,SHFE.ag2106
270,SHFE.fu2111
271,SHFE.ru2203
272,SHFE.ni2206
273,SHFE.wr2304
274,SHFE.rb2108
275,SHFE.zn2104
