,0
0,SHFE.al2301C17500
1,SHFE.cu2101P38000
2,SHFE.zn2206C20800
3,SHFE.au2109C440
4,SHFE.al2204C18300
5,SHFE.au2101C336
6,SHFE.cu2203P66000
7,SHFE.ru2103C11000
8,SHFE.cu2112P73000
9,SHFE.al2301P20400
10,SHFE.cu2204C68000
11,SHFE.zn2208C29000
12,SHFE.cu2101C48000
13,SHFE.au2210C424
14,SHFE.al2111C17900
15,SHFE.zn2204C25000
16,SHFE.cu2210P50000
17,SHFE.cu2202P62000
18,SHFE.zn2011C20400
19,SHFE.cu2107P44000
20,SHFE.cu2304P61000
21,SHFE.zn2205P22200
22,SHFE.cu2103P43000
23,SHFE.al2101P17600
24,SHFE.au2109P312
25,SHFE.al2112P20600
26,SHFE.cu2208P55000
27,SHFE.al2112C18600
28,SHFE.al2208C14800
29,SHFE.al2110C15900
30,SHFE.ru2106C9000
31,SHFE.zn2103C23600
32,SHFE.au2104P324
33,SHFE.zn2108P22400
34,SHFE.zn2105P19000
35,SHFE.al2012P15300
36,SHFE.zn2209P24200
37,SHFE.ru2210C11000
38,SHFE.cu2110P51000
39,SHFE.al2211P17700
40,SHFE.au2105P364
41,SHFE.ru2106P17250
42,SHFE.ru2208C12250
43,SHFE.ru2204P17000
44,SHFE.al2202C16900
45,SHFE.au2206C380
46,SHFE.al2209C22800
47,SHFE.zn2202P25000
48,SHFE.cu2107C44000
49,SHFE.zn2202P19800
50,SHFE.cu2012P48000
51,SHFE.cu2112P70000
52,SHFE.au2010P380
53,SHFE.cu2301P71000
54,SHFE.zn2212P22600
55,SHFE.au2106C408
56,SHFE.ru2110P16750
57,SHFE.au2207P352
58,SHFE.zn2103C23000
59,SHFE.cu2104C68000
60,SHFE.cu2103P39500
61,SHFE.ru2208C16750
62,SHFE.cu2104P62000
63,SHFE.cu2104C58000
64,SHFE.cu2010C52000
65,SHFE.cu2107C46000
66,SHFE.ru2101C9300
67,SHFE.zn2208C19200
68,SHFE.al2206P19000
69,SHFE.cu2303P54000
70,SHFE.cu2102C34500
71,SHFE.al2212C18400
72,SHFE.al2111C16400
73,SHFE.cu2210C65000
74,SHFE.zn2101P20400
75,SHFE.al2108P21800
76,SHFE.al2302P16000
77,SHFE.cu2109P58000
78,SHFE.ru2111P13000
79,SHFE.ru2201C15750
80,SHFE.au2211C384
81,SHFE.al2010P13600
82,SHFE.au2304C352
83,SHFE.zn2112P26000
84,SHFE.ru2303P14000
85,SHFE.cu2109P68000
86,SHFE.cu2303P64000
87,SHFE.al2110C18400
88,SHFE.au2105P320
89,SHFE.al2010P14200
90,SHFE.ru2101C11750
91,SHFE.au2206C360
92,SHFE.au2012C440
93,SHFE.au2105P372
94,SHFE.ru2204P12750
95,SHFE.au2011P496
96,SHFE.ru2207C15250
97,SHFE.cu2110C68000
98,SHFE.ru2207P13500
99,SHFE.cu2011C33500
100,SHFE.ru2110P12750
101,SHFE.zn2202C23000
102,SHFE.al2112C18100
103,SHFE.ru2206C16500
104,SHFE.ru2101C16000
105,SHFE.al2202P26400
106,SHFE.al2101P18200
107,SHFE.cu2011P35500
108,SHFE.cu2202P80000
109,SHFE.ru2206C15250
110,SHFE.cu2108P78000
111,SHFE.al2107P15800
112,SHFE.cu2110P44000
113,SHFE.al2205C16600
114,SHFE.al2011P15000
115,SHFE.ru2109C15500
116,SHFE.al2104C18400
117,SHFE.au2210C464
118,SHFE.al2203C22400
119,SHFE.au2210C448
120,SHFE.zn2209P20200
121,SHFE.ru2301P14750
122,SHFE.au2306C348
123,SHFE.au2109P392
124,SHFE.ru2107P17250
125,SHFE.au2101P348
126,SHFE.zn2105C20600
127,SHFE.au2107P352
128,SHFE.ru2104C9100
129,SHFE.al2108C18400
130,SHFE.cu2011P43000
131,SHFE.al2201P19400
132,SHFE.al2105P13700
133,SHFE.zn2212P24200
134,SHFE.al2105P13500
135,SHFE.al2110C20200
136,SHFE.zn2210P23600
137,SHFE.al2205C19100
138,SHFE.cu2209C58000
139,SHFE.au2104P392
140,SHFE.al2106P15400
141,SHFE.ru2205P13750
142,SHFE.cu2202C70000
143,SHFE.au2112P408
144,SHFE.ru2104P12250
145,SHFE.zn2108P23400
146,SHFE.zn2210C21000
147,SHFE.al2203P16600
148,SHFE.zn2202C24200
149,SHFE.al2109C16400
150,SHFE.ru2303C15000
151,SHFE.al2112C16600
152,SHFE.au2012C364
153,SHFE.cu2105P72000
154,SHFE.ru2109P16750
155,SHFE.al2303P19500
156,SHFE.au2209C372
157,SHFE.ru2103C17750
158,SHFE.al2202C26800
159,SHFE.au2306P368
160,SHFE.cu2106P41000
161,SHFE.al2302P17600
162,SHFE.cu2107C60000
163,SHFE.zn2208P18200
164,SHFE.ru2105C16250
165,SHFE.cu2209C75000
166,SHFE.zn2211C28000
167,SHFE.al2112C17000
168,SHFE.al2205P23800
169,SHFE.au2106P408
